Site ID,Product,TY Vol,TY FM$,FM cpl,NM cpl
1703,MID,14075,2743.2799999999997,19.49024187741997,14.126469263701516
1703,PUL,47471,9410.94999999997,19.82443140854581,14.460658794827356
1703,RUL,1009284,142210.20000000065,14.090209063472836,8.726436449754381
1704,MID,23404,4927.819999999992,21.055752096380033,16.6781139198629
1704,PUL,78357,16658.420000000013,21.259744803732772,16.882106627215638
1704,RUL,1574445,252675.3999999992,16.048542366381902,11.670904189864768
1705,MID,40052,7721.059999999976,19.277743637164313,14.16488811883141
1705,PUL,131493,27092.689999999973,20.603845833619392,15.490990315286489
1705,RUL,1634589,214862.3200000003,13.144730402541976,8.031874884209074
1706,MID,21609,4162.139999999999,19.261153670051893,14.188236139792988
1706,PUL,59513,12065.990000000013,20.2745982027006,15.201680672441693
1706,RUL,1163258,153223.9200000004,13.171961317936118,8.09904378767721
1708,MID,21047,3840.0000000000036,18.244592711323243,13.192484553906496
1708,PUL,58948,11049.659999999989,18.744830593427668,13.692722436010921
1708,RUL,1083781,141033.22999999986,13.013079087833768,7.960970930417021
1709,MID,35892,6687.040000000001,18.63124290570982,13.684663165550251
1709,PUL,110123,21512.620000000024,19.53515906738615,14.588579327226583
1709,RUL,1441409,187200.41000000085,12.98732338862402,8.040743648464453
1710,MID,13817,2984.190000000003,21.598357645016993,15.837041432034527
1710,PUL,58151,12252.939999999995,21.070996916169772,15.309680703187306
1710,RUL,1091978,166416.91000000003,15.239956150126838,9.478639937144372
1711,MID,30552,5737.619999999988,18.78010092632482,13.915654657178
1711,PUL,75925,15063.79000000011,19.840389585125553,14.975943315978734
1711,RUL,1102677,141776.78000000038,12.857508698016998,7.993062428870179
1712,MID,21674,3948.0800000000054,18.21593146556151,13.297279274849753
1712,PUL,67762,12627.730000000003,18.635342251325284,13.716690060613526
1712,RUL,1149294,144934.92999999993,12.610776581028551,7.692124390316793
1714,MID,27045,5022.9800000000105,18.572650448681273,13.48359347121183
1714,PUL,70586,13748.31999999997,19.477321221747548,14.388264244278105
1714,RUL,1184903,154552.75999999966,13.043490802710616,7.954433825241174
1715,MID,17824,3680.9000000000033,20.651416444573304,14.606455584054927
1715,PUL,45091,9411.75,20.8730012023585,14.828040341840122
1715,RUL,1336200,205387.5800000003,15.371025406683275,9.326064546164899
1716,MID,24438,4589.989999999994,18.78204744977497,13.81327293092356
1716,PUL,78636,15293.929999999891,19.44890968422398,14.48013516537257
1716,RUL,966526,124639.96999999974,12.895671958791374,7.926897439939961
1717,MID,43151,9798.190000000031,22.7068891082904,14.545570582678256
1717,PUL,113482,27463.289999999994,24.200667564087233,16.039349038475088
1717,RUL,1077737,173872.92999999993,16.13315745088946,7.971838925277314
1719,MID,61242,16082.840000000007,26.26099205227655,17.530479623846453
1719,PUL,152445,41803.609999999935,27.42214681885103,18.691634390420933
1719,RUL,1584808,306100.50000000064,19.314675360069465,10.58416293163937
1720,MID,87222,19111.42,21.91124527557396,14.14171347404028
1720,PUL,213221,46392.93000000008,21.75814775576961,13.988615954235929
1720,RUL,1875078,289379.99000000046,15.43295924167005,7.663427440136368
1722,MID,24327,7370.98,30.299163846040194,21.258511351923676
1722,PUL,64835,20632.159999999974,31.82239073110646,22.78173823698994
1722,RUL,1222169,278655.1899999998,22.800061860533685,13.759409366417167
1723,MID,33414,10172.779999999995,30.44482336278469,19.97325930455309
1723,PUL,74751,23094.92999999995,30.895681015514278,20.424116957282678
1723,RUL,1546411,350800.08000000083,22.684788492473515,12.213224434241916
1724,MID,35469,9182.729999999978,25.88957027885795,21.016822253550387
1724,PUL,56369,14844.799999999983,26.335171722800933,21.46242369749337
1724,RUL,1502621,293100.5199999998,19.505950930304618,14.633202904997056
1725,MID,56255,15156.710000000021,26.9426838672488,21.912086909158358
1725,PUL,112786,31536.789999999964,27.961536012046253,22.93093905395581
1725,RUL,1686970,341547.37999999966,20.246206992810414,15.215610034719973
1726,MID,60264,14789.460000000014,24.541200521706248,15.649926766832317
1726,PUL,144166,36839.2000000001,25.55332739050662,16.662053635632688
1726,RUL,1524603,277911.82000000076,18.22847238069159,9.337198625817658
1727,MID,39615,8959.13999999997,22.61530120957273,17.29456417186528
1727,PUL,77072,17991.34999999999,23.343642733451954,18.0229056957445
1727,RUL,1250373,199425.8999999999,15.949309548928122,10.628572511220671
1728,MID,17846,4564.009999999984,25.57420664238682,20.78529964463247
1728,PUL,24600,6334.740000000009,25.75088767989576,20.961980682141412
1728,RUL,883683,171699.4700000002,19.429993720788335,14.641086723033986
1730,MID,33768,16537.670000000013,48.974620435416135,28.73906459641406
1730,PUL,68211,33361.35000000002,48.908875559348836,28.67331972034676
1730,RUL,1500594,662387.3199999991,44.14165997314168,23.906104134139603
1731,MID,40916,9804.400000000009,23.962538821749643,12.167441434481102
1731,PUL,104985,24975.99000000002,23.78994491324417,11.99484752597563
1731,RUL,1599689,274310.0099999986,17.147703629885775,5.3526062426172345
1735,MID,12690,2880.8900000000076,22.701687490868995,17.816521797535298
1735,PUL,50455,11322.12000000001,22.44024693523528,17.555081241901583
1735,RUL,989147,169902.4500000003,17.176669005487348,12.291503312153651
1736,MID,27945,6483.890000000003,23.20214665723107,18.74572986658761
1736,PUL,77747,18136.010000000024,23.32708456956141,18.87066777891795
1736,RUL,1361714,233821.9500000002,17.171148380288372,12.714731589644913
1737,MID,15472,3279.269999999993,21.19479554523237,15.663276395939477
1737,PUL,38235,8396.73999999999,21.961152116091935,16.42963296679904
1737,RUL,587647,86223.04999999981,14.672590287696979,9.141071138404085
