Site ID,Product,TY Vol,TY FM$,FM cpl,NM cpl
1703,MID,15333,3116.4600000000037,20.32547791737128,14.796925479035671
1703,PUL,37399,8254.129999999965,22.07063229092808,16.542079852592472
1703,RUL,887733,112799.06999999995,12.706414562083873,7.177862123748263
1704,MID,20670,4918.239999999994,23.794596180945604,19.191551104311603
1704,PUL,61821,15517.579999999958,25.100889526940495,20.497844450306495
1704,RUL,1403365,236442.79000000004,16.848272365552393,12.245227288918393
1705,MID,40123,7544.960000000014,18.804691223339294,13.523103599717384
1705,PUL,113142,24703.050000000032,21.833608793201908,16.552021169579998
1705,RUL,1451891,163654.01000000024,11.271782463094503,5.990194839472594
1706,MID,23543,4408.209999999996,18.723971977393823,13.38432458919316
1706,PUL,49572,10372.29,20.92376146828412,15.584114080083456
1706,RUL,1041603,119375.31000000029,11.460725926668285,6.1210785384676205
1708,MID,16982,3471.4100000000017,20.442114662773218,15.015012887252169
1708,PUL,41502,10014.229999999996,24.129415899146462,18.702314123625413
1708,RUL,917889,108429.8600000001,11.812960315204672,6.385858539683624
1709,MID,28502,5393.689999999999,18.92403087622211,14.061205970757147
1709,PUL,86517,18335.200000000055,21.192623706618292,16.32979880115333
1709,RUL,1264829,144759.2300000001,11.44496769134295,6.582142785877988
1710,MID,16414,3391.6300000000097,20.662502848105564,14.699851699229068
1710,PUL,49502,11135.739999999998,22.495590975356528,16.532939826480032
1710,RUL,968567,131452.98999999964,13.571908112827971,7.609256963951476
1711,MID,27587,5079.169999999998,18.411578715564396,13.420877100741487
1711,PUL,66352,13996.060000000021,21.09360053708577,16.10289892226286
1711,RUL,1023148,116508.29999999981,11.387235182663714,6.396533567840805
1712,MID,21755,4214.149999999994,19.370975919525485,14.316157902304772
1712,PUL,51374,11262.300000000017,21.922108979176986,16.86729096195627
1712,RUL,1008295,119845.38999999978,11.885950861717955,6.831132844497242
1714,MID,25942,4942.479999999992,19.05189815879859,13.885652876914419
1714,PUL,58133,12517.690000000024,21.53283190535315,16.366586623468976
1714,RUL,1049960,123361.3099999997,11.749142445285553,6.582897163401382
1715,MID,20579,4046.880000000013,19.665201556799367,13.23697763113303
1715,PUL,38185,8310.780000000006,21.764649946891133,15.336426021224796
1715,RUL,1236086,149209.1099999994,12.071093864732056,5.642869939065719
1716,MID,19426,3824.540000000002,19.68762761497941,14.446254300611919
1716,PUL,60473,14168.38000000002,23.429395744341708,18.188022429974218
1716,RUL,789285,92184.9400000003,11.679547194157434,6.438173879789944
1717,MID,43139,8630.209999999985,20.005714123447053,12.387771493166964
1717,PUL,95708,21255.650000000052,22.20879020126531,14.59084757098522
1717,RUL,1043125,115711.71999999997,11.092792909724846,3.474850279444757
1719,MID,57897,15971.509999999966,27.586070983390464,17.90880924048791
1719,PUL,138292,40560.65000000015,29.329614856698665,19.65235311379611
1719,RUL,1614026,313828.77999999974,19.443854733616508,9.766592990713953
1720,MID,76163,18186.58,23.87843849183414,16.014578494709365
1720,PUL,172320,44473.77999999988,25.80885517029928,17.944995173174508
1720,RUL,1713220,256582.59999999893,14.976630814854472,7.112770817729698
1722,MID,17792,5010.149999999996,28.159749692612635,18.914728508434706
1722,PUL,41784,12393.539999999986,29.660831573736594,20.415810389558665
1722,RUL,957720,195853.38,20.44995534296536,11.20493415878743
1723,MID,26547,8531.680000000015,32.13767071046963,18.888994911110284
1723,PUL,54591,18788.149999999994,34.41618459266689,21.167508793307544
1723,RUL,1274138,290789.8499999997,22.82247865228909,9.573802852929745
1724,MID,28264,6424.869999999999,22.731989690471423,18.11949097943992
1724,PUL,45585,11224.240000000002,24.622695532576817,20.010196821545314
1724,RUL,1315015,182180.66000000061,13.853881596072537,9.241382885041034
1725,MID,51360,10968.870000000032,21.356946801646934,16.168395776766587
1725,PUL,95336,21940.49000000005,23.013810148970663,17.825259124090316
1725,RUL,1557785,209488.04999999958,13.447815940450635,8.25926491557029
1726,MID,57000,14156.829999999973,24.836339940226413,16.13151442077675
1726,PUL,125201,33120.67999999999,26.454099138646807,17.749273619197144
1726,RUL,1401317,245269.15999999898,17.502765138795066,8.797939619345403
1727,MID,38992,8315.679999999978,21.326692909219748,15.957844265071984
1727,PUL,65920,15200.170000000056,23.058459595318027,17.689610951170263
1727,RUL,1211807,156943.07000000053,12.951156424913233,7.5823077807654675
1728,MID,14257,3702.7800000000093,25.972041957265056,20.914811984723396
1728,PUL,21324,6217.770000000004,29.159134901159895,24.101904928618236
1728,RUL,806730,128796.80000000016,15.965292357220594,10.908062384678935
1730,MID,35020,18080.83000000001,51.63003795947129,29.448938542747328
1730,PUL,66120,34745.58999999999,52.54909207237092,30.367992655646958
1730,RUL,1486559,670252.3500000001,45.08750688539818,22.906407468674217
1731,MID,31862,8501.480000000007,26.682258947357866,14.146413365696512
1731,PUL,63011,18138.49999999997,28.786024844774666,16.25017926311331
1731,RUL,1279819,218834.74000000046,17.09888511768916,4.563039536027807
1735,MID,13927,3109.1799999999994,22.32558206330577,17.499722769305144
1735,PUL,41999,10461.789999999994,24.909831599777092,20.083972305776467
1735,RUL,908871,127976.48999999987,14.080824202401523,9.254964908400897
1736,MID,28648,6463.380000000014,22.561656145319724,17.950157372191992
1736,PUL,68179,16599.589999999982,24.3469388365736,19.735440063445868
1736,RUL,1272235,183350.0699999996,14.411654842226037,9.800156069098305
1737,MID,11201,2340.240000000001,20.892237374682875,15.389582437318515
1737,PUL,30777,6993.990000000002,22.72502781009311,17.222372872728748
1737,RUL,562059,73336.46000000002,13.047826815574387,7.545171878210027
